M;I;A;A;H;F;S;P;U;W;Q;L;B;K;T;U;H;W;L;A
W;K;B;V;D;F;Y;L;J;G;T;U;H;M;H;H;L;V;A;E
O;U;I;U;K;N;R;K;Y;P;E;O;C;W;V;X;T;Q;Z;V
E;Q;Q;V;F;A;J;G;W;X;N;F;Y;I;X;H;E;D;N;U
F;R;H;X;T;O;B;S;C;K;D;N;E;E;A;I;S;D;Q;M
Z;E;T;Z;O;U;I;H;R;U;E;U;A;K;Y;F;J;O;Z;I
W;V;A;S;Q;A;Z;B;E;O;M;T;O;K;B;E;N;J;F;G
O;E;E;J;A;L;F;R;Y;Q;I;R;O;H;U;W;N;Q;A;I
Z;I;N;W;X;S;D;J;A;I;C;F;O;V;S;D;O;M;Z;B
G;K;Y;U;A;E;G;B;R;U;O;X;Y;V;T;X;O;W;C;C
D;B;U;O;N;I;E;Z;Q;T;D;I;S;V;X;W;G;D;P;O
K;I;L;E;T;F;J;X;I;Y;L;N;V;R;Q;I;Y;P;C;A
P;J;Q;R;V;P;B;C;D;C;P;E;S;Q;W;H;K;P;A;C
Z;R;M;H;O;T;U;X;U;K;T;F;C;E;Z;G;M;O;F;V
T;V;W;C;X;O;K;Y;W;D;T;H;P;A;Y;B;M;U;G;E
H;J;W;Y;M;S;O;I;Y;A;V;C;A;O;I;O;Q;H;N;C
F;E;Q;I;Q;O;D;H;B;L;U;R;W;P;F;F;S;X;X;Y
M;T;G;T;Z;I;N;R;X;L;X;C;K;F;T;J;B;F;X;Y
C;F;C;L;I;E;F;A;M;Z;Q;W;Q;W;W;O;K;A;J;I
O;M;M;P;K;I;D;T;H;J;L;R;H;W;L;G;T;G;H;N
